path,label,group_id,split
../data/raw/Bali/letter/ba/Ba_238.jpg,ba,238,train
../data/raw/Bali/letter/ba/Ba_210.jpg,ba,210,train
../data/raw/Bali/letter/ba/Ba_204.jpg,ba,204,train
../data/raw/Bali/letter/ba/Ba_24.jpg,ba,24,train
../data/raw/Bali/letter/ba/Ba_30.jpg,ba,30,validation
../data/raw/Bali/letter/ba/Ba_18.jpg,ba,18,train
../data/raw/Bali/letter/ba/Ba_166.jpg,ba,166,train
../data/raw/Bali/letter/ba/Ba_172.jpg,ba,172,train
../data/raw/Bali/letter/ba/Ba_199.jpg,ba,199,train
../data/raw/Bali/letter/ba/Ba_198.jpg,ba,198,train
../data/raw/Bali/letter/ba/Ba_173.jpg,ba,173,train
../data/raw/Bali/letter/ba/Ba_167.jpg,ba,167,train
../data/raw/Bali/letter/ba/Ba_19.jpg,ba,19,train
../data/raw/Bali/letter/ba/Ba_31.jpg,ba,31,test
../data/raw/Bali/letter/ba/Ba_25.jpg,ba,25,train
../data/raw/Bali/letter/ba/Ba_205.jpg,ba,205,train
../data/raw/Bali/letter/ba/Ba_211.jpg,ba,211,train
../data/raw/Bali/letter/ba/Ba_239.jpg,ba,239,train
../data/raw/Bali/letter/ba/Ba_207.jpg,ba,207,train
../data/raw/Bali/letter/ba/Ba_213.jpg,ba,213,train
../data/raw/Bali/letter/ba/Ba_33.jpg,ba,33,train
../data/raw/Bali/letter/ba/Ba_27.jpg,ba,27,train
../data/raw/Bali/letter/ba/Ba_159.jpg,ba,159,validation
../data/raw/Bali/letter/ba/Ba_171.jpg,ba,171,train
../data/raw/Bali/letter/ba/Ba_165.jpg,ba,165,train
../data/raw/Bali/letter/ba/Ba_164.jpg,ba,164,train
../data/raw/Bali/letter/ba/Ba_170.jpg,ba,170,train
../data/raw/Bali/letter/ba/Ba_158.jpg,ba,158,train
../data/raw/Bali/letter/ba/Ba_26.jpg,ba,26,train
../data/raw/Bali/letter/ba/Ba_32.jpg,ba,32,train
../data/raw/Bali/letter/ba/Ba_212.jpg,ba,212,validation
../data/raw/Bali/letter/ba/Ba_206.jpg,ba,206,train
../data/raw/Bali/letter/ba/Ba_202.jpg,ba,202,train
../data/raw/Bali/letter/ba/Ba_216.jpg,ba,216,train
../data/raw/Bali/letter/ba/Ba_36.jpg,ba,36,train
../data/raw/Bali/letter/ba/Ba_22.jpg,ba,22,validation
../data/raw/Bali/letter/ba/Ba_174.jpg,ba,174,train
../data/raw/Bali/letter/ba/Ba_160.jpg,ba,160,train
../data/raw/Bali/letter/ba/Ba_148.jpg,ba,148,train
../data/raw/Bali/letter/ba/Ba_149.jpg,ba,149,test
../data/raw/Bali/letter/ba/Ba_161.jpg,ba,161,test
../data/raw/Bali/letter/ba/Ba_175.jpg,ba,175,train
../data/raw/Bali/letter/ba/Ba_23.jpg,ba,23,train
../data/raw/Bali/letter/ba/Ba_37.jpg,ba,37,train
../data/raw/Bali/letter/ba/Ba_217.jpg,ba,217,test
../data/raw/Bali/letter/ba/Ba_203.jpg,ba,203,validation
../data/raw/Bali/letter/ba/Ba_215.jpg,ba,215,validation
../data/raw/Bali/letter/ba/Ba_201.jpg,ba,201,validation
../data/raw/Bali/letter/ba/Ba_229.jpg,ba,229,train
../data/raw/Bali/letter/ba/Ba_21.jpg,ba,21,train
../data/raw/Bali/letter/ba/Ba_35.jpg,ba,35,train
../data/raw/Bali/letter/ba/Ba_163.jpg,ba,163,train
../data/raw/Bali/letter/ba/Ba_177.jpg,ba,177,train
../data/raw/Bali/letter/ba/Ba_188.jpg,ba,188,train
../data/raw/Bali/letter/ba/Ba_189.jpg,ba,189,train
../data/raw/Bali/letter/ba/Ba_176.jpg,ba,176,train
../data/raw/Bali/letter/ba/Ba_162.jpg,ba,162,train
../data/raw/Bali/letter/ba/Ba_34.jpg,ba,34,train
